No.,OPVO Code,Subject Area,Program Name (EN),University (EN),Level,Status,Reg. Date,RK Citizens (KZT),Foreign Currency,Foreign Citizens (KZT/USD),English (EPVO),Price Data Year,RK (USD equiv.),Foreign (KZT equiv.)
29,7M06108,Information & Communication Technologies,Management of Information Systems,Satbayev Kazakh National Research Technical University NPJSC,Master,Updated,25.04.2025,1380000,KZT,1840000,Yes,2025-2026,3067,1840000
30,7M06103,Information & Communication Technologies,Management of Information Systems,Satbayev Kazakh National Research Technical University NPJSC,Master,Updated,29.05.2020,1725000,KZT,2300000,Yes,2025-2026,3833,2300000
31,6B02100,Arts & Humanities,Fashion and Costume Design,Kazakh National Academy of Arts named after Temirbek Zhurgenov under the Ministry of Culture and Information of the Republic of Kazakhstan,Bachelor,Updated,19.11.2021,1144250,KZT,1144250,No,2025-2026,2543,1144250
32,7M07201,Engineering & Technology,Automation and Digitalisation of Metallurgical Processes,Satbayev Kazakh National Research Technical University NPJSC,Master,Updated,07.08.2019,1650000,KZT,2199960,Yes,2025-2026,3667,2199960
33,6B01515,Education,Geography (IP),Almaty Humanitarian Economic University,Bachelor,Updated,18.05.2025,700000,KZT,700000,No,2025-2026,1556,700000
34,6B07101,Engineering & Technology,Power Engineering,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,30.05.2022,1111380,KZT,1700000,Yes,2025-2026,2470,1700000
35,6B04203,"Business, Economics & Law",Legal Support for Business (Corporate Lawyer),Turan,Bachelor,Updated,04.11.2019,1476600,KZT,1476600,No,2025-2026,3281,1476600
36,6B07103,Engineering & Technology,Automation and Robotics,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,28.07.2025,1222560,KZT,1869900,Yes,2025-2026,2717,1869900
37,6B07102,Engineering & Technology,Automation and Control,International Engineering and Technological University,Bachelor,Updated,12.06.2023,950000,KZT,1000000,Yes,2025-2026,2111,1000000
38,6B04202,"Business, Economics & Law",Business Law,Almaty Humanitarian Economic University,Bachelor,Updated,08.10.2019,700000,KZT,700000,No,2025-2026,1556,700000
39,7M07239,Engineering & Technology,Technology of Food Products,Kazakh University of Technology and Business named after K. Kulazhanov JSC,Master,Updated,07.11.2019,980000,KZT,980000,No,2025-2026,2178,980000
40,7M07241,Engineering & Technology,Food Safety,Kazakh University of Technology and Business named after K. Kulazhanov JSC,Master,Updated,04.11.2019,980000,KZT,980000,No,2025-2026,2178,980000
41,7M04101,"Business, Economics & Law",Management (2 years),ALMAU,Master,Updated,13.08.2019,2310000,KZT,2310000,No,2025-2026,5133,2310000
42,6B03101,Social Sciences & Journalism,International Relations,Kazakh anerican free univ,Bachelor,Updated,23.08.2019,620000,KZT,620000,No,2025-2026,1378,620000
43,7M04105,"Business, Economics & Law",MBA in Mining and Metallurgical Complex,Satbayev Kazakh National Research Technical University NPJSC,Master,Updated,21.05.2025,1500000,KZT,1600000,Yes,2025-2026,3333,1600000
44,6B04103,"Business, Economics & Law",Business Engineering,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,04.05.2024,905760,KZT,1700000,Yes,2025-2026,2013,1700000
45,6B01402,Education,Physical Culture and Sport (IP),Kazakh anerican free univ,Bachelor,Updated,29.06.2019,620000,KZT,620000,No,2025-2026,1378,620000
46,6B06105,Information & Communication Technologies,Software Engineering,Almaty University of Power Engineering and Telecommunications named after Gumarbek Daukeyev NPJSC,Bachelor,Updated,23.08.2019,1260000,KZT,1800000,Yes,2025-2026,2800,1800000
47,6B06202,Information & Communication Technologies,Smart Technologies,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,25.01.2022,1278060,KZT,1725381,No,2025-2026,2840,1725381
48,6B06139,Information & Communication Technologies,Software Engineering,UIB,Bachelor,Included,01.06.2026,1899000,KZT,1899000,Yes,2025-2026,4220,1899000
49,6B06129,Information & Communication Technologies,Information Technologies,UIB,Bachelor,Included,02.06.2026,1899000,KZT,1899000,Yes,2025-2026,4220,1899000
50,6B04129,"Business, Economics & Law",Art Management,UIB,Bachelor,Included,18.06.2026,1899000,KZT,1899000,Yes,2025-2026,4220,1899000
51,6B06102,Information & Communication Technologies,Computer Science,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,01.07.2019,1278060,KZT,1954980,Yes,2025-2026,2840,1954980
52,6B05403,Natural Sciences & Mathematics,"Mathematical Economics, Statistics and Data Analysis",Kazakh anerican free univ,Bachelor,Updated,04.08.2021,,,,No,,,
53,6B04103,"Business, Economics & Law",Business Administration in Entrepreneurship,ALMAU,Bachelor,Updated,21.08.2019,3200000,KZT,3200000,No,2025-2026,7111,3200000
54,6B03104,Social Sciences & Journalism,Psychology,ALMAU,Bachelor,Updated,02.09.2019,2600000,KZT,2600000,Yes,2025-2026,5778,2600000
55,6B05301,Natural Sciences & Mathematics,Chemistry,NJC «KazNWTTU,Bachelor,Updated,21.09.2019,1000000,KZT,1000000,No,2025-2026,2222,1000000
56,6B07109,Engineering & Technology,Engineering Physics and Materials Science,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,18.09.2019,1111380,KZT,1700000,Yes,2025-2026,2470,1700000
57,6B01712,Education,Kazakh Language and Literature (IP),Pavlodar Pedagogical University named after Alkey Margulan NPJSC,Bachelor,Updated,24.05.2025,784000,KZT,1008060,Yes,2025-2026,1742,1008060
58,6B11401,"Services, Tourism & Transport",Social Work,NJC «KazNWTTU,Bachelor,Updated,01.07.2019,1000000,KZT,1000000,No,2025-2026,2222,1000000
59,7M06108,Information & Communication Technologies,Management of Information Systems,Satbayev Kazakh National Research Technical University NPJSC,Master,Updated,25.04.2025,1380000,KZT,1840000,Yes,2025-2026,3067,1840000
60,7M06103,Information & Communication Technologies,Management of Information Systems,Satbayev Kazakh National Research Technical University NPJSC,Master,Updated,29.05.2020,1725000,KZT,2300000,Yes,2025-2026,3833,2300000
61,7M01502,Education,Physics,NJC «KazNWTTU,Master,Updated,29.06.2019,1200000,KZT,1200000,No,2025-2026,2667,1200000
62,6B07111,Engineering & Technology,Thermal Engineering,Kazakh National Agrarian Research University NPJSC,Bachelor,Included,28.05.2026,1000000,,,No,2025-2026,2222,
63,6B07305,Engineering & Technology,Transport Construction,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Included,15.06.2026,1111380,KZT,1700000,Yes,2025-2026,2470,1700000
64,7M03113,Social Sciences & Journalism,Counseling Psychology,NJC «KazNWTTU,Master,Updated,06.06.2023,1100000,KZT,,No,2025-2026,2444,
65,6B01503,Education,Training of Geography Teachers,Almaty Humanitarian Economic University,Bachelor,Updated,29.06.2019,700000,KZT,700000,No,2025-2026,1556,700000
66,6B07232,Engineering & Technology,Fashion Industry: Technology and Design,Kazakh University of Technology and Business named after K. Kulazhanov JSC,Bachelor,Updated,30.06.2025,1200000,KZT,1200000,No,2025-2026,2667,1200000
67,7M01301,Education,Pedagogy and Methodology of Primary Education,Almaty Humanitarian Economic University,Master,Updated,01.07.2019,850000,KZT,850000,No,2025-2026,1889,850000
68,8D07105,Engineering & Technology,Biomedical Engineering,Satbayev Kazakh National Research Technical University NPJSC,Doctoral (PhD),Updated,16.07.2019,2223600,KZT,2400000,Yes,2025-2026,4941,2400000
69,7M06107,Information & Communication Technologies,Computer Science & Data Analytics,International Information Technology University JSC,Master,Updated,29.07.2022,2760000,KZT,2760000,Yes,2025-2026,6133,2760000
70,7M02301,Arts & Humanities,Philology,NJC «KazNWTTU,Master,Updated,18.10.2023,1200000,KZT,1200000,Yes,2025-2026,2667,1200000
71,7M07213,Engineering & Technology,Petroleum Engineering,Satbayev Kazakh National Research Technical University NPJSC,Master,Updated,20.08.2019,1200000,KZT,1600000,Yes,2025-2026,2667,1600000
72,7M06106,Information & Communication Technologies,Data Science,International Information Technology University JSC,Master,Updated,15.08.2024,2010000,KZT,2010000,Yes,2025-2026,4467,2010000
73,7R01145,Healthcare & Medicine,Military Therapy,Turan,Residency,Included,06.05.2026,1284000,KZT,,No,2025-2026,2853,
74,7R01126,Healthcare & Medicine,"Anesthesiology and Reanimatology (adult, pediatric)",Kazakhstan Medical University School of Public Health LLP,Residency,Included,20.04.2026,1811300,KZT,2200000,No,2025-2026,4025,2200000
75,8D07205,Engineering & Technology,Geology and Exploration of Solid Mineral Deposits,Satbayev Kazakh National Research Technical University NPJSC,Doctoral (PhD),Included,30.06.2026,2223600,KZT,2400000,No,2025-2026,4941,2400000
76,6B01507,Education,Mathematics and physics,Non-profit joint-stock company «Arqalyq Pedagogical University named after Ybyrai Altynsarin,Bachelor,Included,06.05.2026,625000,KZT,625000,No,2025-2026,1389,625000
77,8D07206,Engineering & Technology,Non-Food Product Safety,Satbayev Kazakh National Research Technical University NPJSC,Doctoral (PhD),Updated,23.11.2019,1278060,KZT,1725381,No,2025-2026,2840,1725381
78,8D07205,Engineering & Technology,Geology and Exploration of Solid Mineral Deposits,Satbayev Kazakh National Research Technical University NPJSC,Doctoral (PhD),Updated,07.08.2019,2223600,KZT,2400000,Yes,2025-2026,4941,2400000
79,8D07202,Engineering & Technology,Petroleum Engineering,Satbayev Kazakh National Research Technical University NPJSC,Doctoral (PhD),Updated,28.07.2019,2223600,KZT,2400000,Yes,2025-2026,4941,2400000
80,6B07206,Engineering & Technology,Textile Nanotechnology,ATU,Bachelor,Included,01.06.2026,920000,KZT,1009600,Yes,2025-2026,2044,1009600
81,6B07207,Engineering & Technology,Fashion Technology,ATU,Bachelor,Included,22.05.2026,920000,KZT,1009600,Yes,2025-2026,2044,1009600
82,8D04102,"Business, Economics & Law",Management,Satbayev Kazakh National Research Technical University NPJSC,Doctoral (PhD),Updated,05.08.2019,2223600,KZT,2400000,Yes,2025-2026,4941,2400000
83,8D04101,"Business, Economics & Law",Management (PhD),ALMAU,Doctoral (PhD),Updated,28.07.2019,1500000,KZT,1500000,Yes,2025-2026,3333,1500000
84,6B11355,"Services, Tourism & Transport",Logistics,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,24.08.2019,1278060,KZT,1725381,No,2025-2026,2840,1725381
85,6B11300,"Services, Tourism & Transport","Transport Organization, Traffic Management and Operation",Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,12.08.2019,1278060,KZT,1725381,No,2025-2026,2840,1725381
86,6B06108,Information & Communication Technologies,Digital Monitoring of Machines and Equipment,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Included,20.04.2026,1111380,KZT,1700000,Yes,2025-2026,2470,1700000
87,7M04117,"Business, Economics & Law",Economics,International University Astana LLP,Master,Included,20.04.2026,1100000,KZT,1100000,No,2025-2026,2444,1100000
88,8D07207,Engineering & Technology,Fashion Technology,Satbayev Kazakh National Research Technical University NPJSC,Doctoral (PhD),Included,01.06.2026,1278060,KZT,1725381,No,2025-2026,2840,1725381
89,8D07203,Engineering & Technology,Mining Engineering,Satbayev Kazakh National Research Technical University NPJSC,Doctoral (PhD),Updated,26.07.2019,2223600,KZT,2400000,Yes,2025-2026,4941,2400000
90,8D07204,Engineering & Technology,Metallurgical Engineering,Satbayev Kazakh National Research Technical University NPJSC,Doctoral (PhD),Updated,28.10.2019,2223600,KZT,2400000,Yes,2025-2026,4941,2400000
91,8D05101,Natural Sciences & Mathematics,Biotechnology,Satbayev Kazakh National Research Technical University NPJSC,Doctoral (PhD),Updated,24.07.2019,2223600,KZT,2400000,Yes,2025-2026,4941,2400000
92,8D07102,Engineering & Technology,Thermal Power Engineering,Almaty University of Power Engineering and Telecommunications named after Gumarbek Daukeyev NPJSC,Doctoral (PhD),Updated,14.05.2020,4200000,KZT,4200000,Yes,2025-2026,9333,4200000
93,8D07101,Engineering & Technology,Automation and Robotics,Satbayev Kazakh National Research Technical University NPJSC,Doctoral (PhD),Updated,26.07.2019,2223600,KZT,2400000,Yes,2025-2026,4941,2400000
94,7M07204,Engineering & Technology,Metallurgy and Mineral Processing,Satbayev Kazakh National Research Technical University NPJSC,Master,Updated,25.07.2022,1650000,KZT,2199960,Yes,2025-2026,3667,2199960
95,6B06102,Information & Communication Technologies,Computer Science,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,09.07.2019,1278060,KZT,1954980,Yes,2025-2026,2840,1954980
96,6B06113,Information & Communication Technologies,Computer Science and Software Engineering,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,10.07.2019,1278060,KZT,1725381,No,2025-2026,2840,1725381
97,6B07101,Engineering & Technology,Power Engineering,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,09.07.2019,1111380,KZT,1700000,Yes,2025-2026,2470,1700000
98,6B07103,Engineering & Technology,Automation and Robotics,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,05.08.2019,1222560,KZT,1869900,Yes,2025-2026,2717,1869900
99,6B05301,Natural Sciences & Mathematics,Chemistry,NJC «KazNWTTU,Bachelor,Updated,12.10.2022,1000000,KZT,1000000,No,2025-2026,2222,1000000
100,6B07312,Engineering & Technology,Innovative Production of Construction Materials,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,03.09.2019,1111380,KZT,1700000,No,2025-2026,2470,1700000
101,6B07133,Engineering & Technology,Assessment of Transport Infrastructure and Quality Management,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,11.07.2019,1166940,KZT,1700000,No,2025-2026,2593,1700000
102,6B04103,"Business, Economics & Law",Business Administration in Entrepreneurship,ALMAU,Bachelor,Updated,02.08.2019,3200000,KZT,3200000,No,2025-2026,7111,3200000
103,7M10102,Healthcare & Medicine,Medicine (P),Turan,Master,Updated,27.05.2020,1290000,,,No,2025-2026,2867,
104,6B07110,Engineering & Technology,Control and Measurement Instruments and Systems in Robotics,Almaty University of Power Engineering and Telecommunications named after Gumarbek Daukeyev NPJSC,Bachelor,Updated,24.05.2020,1260000,KZT,1800000,Yes,2025-2026,2800,1800000
105,7M01104,Education,Research in Education IP,NJC «KazNWTTU,Master,Updated,08.05.2020,1200000,KZT,1200000,Yes,2025-2026,2667,1200000
106,6B07316,Engineering & Technology,Transport Construction,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,23.09.2024,1278060,KZT,1725381,No,2025-2026,2840,1725381
107,6B05303,Natural Sciences & Mathematics,Computer Physics,NJC «KazNWTTU,Bachelor,Included,14.05.2026,1000000,KZT,1000000,No,2025-2026,2222,1000000
108,6B05302,Natural Sciences & Mathematics,Physics,NJC «KazNWTTU,Bachelor,Included,14.05.2026,1000000,KZT,1000000,No,2025-2026,2222,1000000
109,7M05101,Natural Sciences & Mathematics,Biotechnology,ATU,Master,Updated,17.04.2020,920000,KZT,920000,No,2025-2026,2044,920000
110,6B02267,Arts & Humanities,Turkology,Kazakhstan Medical University School of Public Health LLP,Bachelor,Updated,12.06.2020,,,,No,,,
111,7M07203,Engineering & Technology,Mining Engineering,Satbayev Kazakh National Research Technical University NPJSC,Master,Updated,20.06.2020,1650000,KZT,2199960,Yes,2025-2026,3667,2199960
112,7M10130,Healthcare & Medicine,Medicine,UIB,Master,Updated,11.06.2024,1899000,KZT,1899000,Yes,2025-2026,4220,1899000
113,7M10119,Healthcare & Medicine,Epidemiology,Turan,Master,Updated,19.04.2020,1290000,KZT,,No,2025-2026,2867,
114,6B10105,Healthcare & Medicine,Dentistry,Manash Kozybayev North Kazakhstan University NPJSC,Bachelor,Included,05.06.2026,919600,KZT,919600,Yes,2025-2026,2044,919600
115,6B03201,Social Sciences & Journalism,Public Relations,ALMAU,Bachelor,Updated,30.10.2019,2600000,KZT,2600000,No,2025-2026,5778,2600000
116,6B08301,"Agriculture, Food & Veterinary",Game Management and Fur Farming,Kazakh National Agrarian Research University NPJSC,Bachelor,Updated,16.08.2019,1000000,,,No,2025-2026,2222,
117,6B04105,"Business, Economics & Law",Finance,ALMAU,Bachelor,Updated,15.08.2019,3200000,KZT,3200000,No,2025-2026,7111,3200000
118,6B02101,Arts & Humanities,Design,Almaty Humanitarian Economic University,Bachelor,Updated,12.07.2019,700000,KZT,700000,Yes,2025-2026,1556,700000
119,6B07114,Engineering & Technology,Biomedical Engineering,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,27.06.2022,1222560,KZT,1869900,Yes,2025-2026,2717,1869900
120,6B04201,"Business, Economics & Law",Jurisprudence,ALMAU,Bachelor,Updated,19.07.2019,2900000,KZT,2900000,Yes,2025-2026,6444,2900000
121,6B05203,Natural Sciences & Mathematics,Applied Geology,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,04.06.2020,980280,KZT,1785000,Yes,2025-2026,2178,1785000
122,6В08101,"Agriculture, Food & Veterinary",Agronomy,ALMAU,Bachelor,Updated,29.06.2019,2900000,KZT,,No,2025-2026,6444,
123,6B07106,Engineering & Technology,Instrumentation Engineering,Almaty University of Power Engineering and Telecommunications named after Gumarbek Daukeyev NPJSC,Bachelor,Updated,23.07.2019,1260000,KZT,1800000,No,2025-2026,2800,1800000
124,6B06104,Information & Communication Technologies,Data Science,ALMAU,Bachelor,Updated,14.06.2022,2900000,KZT,2900000,Yes,2025-2026,6444,2900000
125,6B11101,"Services, Tourism & Transport",Restaurant Business and Hospitality,ALMAU,Bachelor,Updated,16.08.2019,3200000,KZT,3200000,Yes,2025-2026,7111,3200000
126,6B05202,Natural Sciences & Mathematics,Water Resources and Transboundary Security,"non-profit joint-stock company ""Shakarim University",Bachelor,Updated,12.09.2019,840000,KZT,840000,No,2025-2026,1867,840000
127,6B06201,Information & Communication Technologies,Telecommunications,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,06.12.2019,1222560,KZT,1869900,Yes,2025-2026,2717,1869900
128,6B07302,Engineering & Technology,Civil Engineering,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,11.04.2020,1200000,KZT,1836000,Yes,2025-2026,2667,1836000
129,7M06103,Information & Communication Technologies,Management of Information Systems,Satbayev Kazakh National Research Technical University NPJSC,Master,Updated,05.12.2019,1725000,KZT,2300000,Yes,2025-2026,3833,2300000
130,7M07311,Engineering & Technology,Engineering Systems and Networks,Satbayev Kazakh National Research Technical University NPJSC,Master,Updated,18.08.2019,1200000,KZT,1600000,Yes,2025-2026,2667,1600000
131,7R01140,Healthcare & Medicine,"Physical Medicine and Rehabilitation Adult, Pediatric",Turan,Residency,Updated,12.04.2023,1284000,KZT,,No,2025-2026,2853,
132,7R01121,Healthcare & Medicine,"Traumatology and Orthopedics (adult, pediatric)",Kazakhstan Medical University School of Public Health LLP,Residency,Updated,13.07.2020,1811300,KZT,2200000,No,2025-2026,4025,2200000
133,6B02302,Arts & Humanities,Foreign Philology (European: English-French/Spanish/German),Almaty University of Power Engineering and Telecommunications named after Gumarbek Daukeyev NPJSC,Bachelor,Updated,17.07.2019,1190000,KZT,1400000,Yes,2025-2026,2644,1400000
134,7M08201,"Agriculture, Food & Veterinary",Animal Production Technology,Manash Kozybayev North Kazakhstan University NPJSC,Master,Updated,23.08.2019,610500,KZT,610500,Yes,2025-2026,1357,610500
135,6B08201,"Agriculture, Food & Veterinary",Technology of Livestock Product Production,ATU,Bachelor,Updated,19.09.2019,920000,KZT,1009600,No,2025-2026,2044,1009600
136,7M07301,Engineering & Technology,Construction Materials Production,Satbayev Kazakh National Research Technical University NPJSC,Master,Updated,03.09.2019,1278060,KZT,1725381,No,2025-2026,2840,1725381
137,6B04104,"Business, Economics & Law",Marketing,ALMAU,Bachelor,Updated,11.09.2019,3200000,KZT,3200000,Yes,2025-2026,7111,3200000
138,7R01148,Healthcare & Medicine,Clinical Laboratory Diagnostics,Turan,Residency,Updated,27.03.2023,1284000,KZT,,No,2025-2026,2853,
139,6B05315,Natural Sciences & Mathematics,Analytical Chemistry,Almaty University of Power Engineering and Telecommunications named after Gumarbek Daukeyev NPJSC,Bachelor,Updated,31.12.2024,920000,KZT,,Yes,2025-2026,2044,
140,7M04102,"Business, Economics & Law",Project Management (2 years),ALMAU,Master,Included,01.04.2026,2310000,KZT,2310000,Yes,2025-2026,5133,2310000
141,6B11319,"Services, Tourism & Transport",Logistics,Kostanay Engineering and Economic University named after M. Dulatov,Bachelor,Updated,18.08.2019,510000,KZT,510000,No,2025-2026,1133,510000
142,6B07110,Engineering & Technology,Control and Measurement Instruments and Systems in Robotics,Almaty University of Power Engineering and Telecommunications named after Gumarbek Daukeyev NPJSC,Bachelor,Updated,25.07.2019,1260000,KZT,1800000,No,2025-2026,2800,1800000
143,6B01601,Education,History,Non-profit joint-stock company «Arqalyq Pedagogical University named after Ybyrai Altynsarin,Bachelor,Updated,03.07.2019,625000,KZT,625000,No,2025-2026,1389,625000
144,7M04101,"Business, Economics & Law",Management (2 years),ALMAU,Master,Included,01.04.2026,2310000,KZT,2310000,Yes,2025-2026,5133,2310000
145,6B04104,"Business, Economics & Law",Marketing,ALMAU,Bachelor,Updated,11.12.2019,3200000,KZT,3200000,Yes,2025-2026,7111,3200000
146,7R01102,Healthcare & Medicine,Pediatrics,Kazakhstan Medical University School of Public Health LLP,Residency,Updated,04.04.2023,1811300,KZT,2200000,No,2025-2026,4025,2200000
147,6B10123,Healthcare & Medicine,Medicine (New EP),Astana Medical University NPJSC,Bachelor,Updated,16.08.2023,,KZT,2600000,Yes,,,2600000
148,6B04101,"Business, Economics & Law",Management,ALMAU,Bachelor,Updated,01.06.2020,3200000,KZT,3200000,Yes,2025-2026,7111,3200000
149,7R01130,Healthcare & Medicine,"Cardiosurgery (adult, pediatric)",Kazakhstan Medical University School of Public Health LLP,Residency,Updated,27.07.2020,1811300,KZT,2200000,No,2025-2026,4025,2200000
150,6B04129,"Business, Economics & Law",Art Management,UIB,Bachelor,Updated,23.05.2024,1899000,KZT,1899000,Yes,2025-2026,4220,1899000
151,6B07514,Engineering & Technology,Standardization and Certification,Kostanay Engineering and Economic University named after M. Dulatov,Bachelor,Updated,19.08.2019,510000,KZT,510000,No,2025-2026,1133,510000
152,7M04133,"Business, Economics & Law",Management,Kazakh University of Technology and Business named after K. Kulazhanov JSC,Master,Updated,25.06.2025,980000,KZT,980000,No,2025-2026,2178,980000
153,6B04148,"Business, Economics & Law",Sports Management,Kostanay Engineering and Economic University named after M. Dulatov,Bachelor,Updated,30.04.2024,510000,KZT,510000,No,2025-2026,1133,510000
154,6B04102,"Business, Economics & Law",Mathematical Economics and Data Analysis,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,22.10.2019,905760,KZT,1700000,Yes,2025-2026,2013,1700000
155,6B04126,"Business, Economics & Law",Business Administration,UIB,Bachelor,Updated,23.08.2019,1899000,KZT,1899000,Yes,2025-2026,4220,1899000
156,6B07138,Engineering & Technology,Mechanical Engineering,ALT,Bachelor,Updated,13.10.2021,950000,,,Yes,2025-2026,2111,
